x,y,z,eval
396.66776656224204,401.05592475174853,251.93210739021657,1.754956496522448
416.37217526536773,380.2600377888271,198.84333943317176,1.7518277407700424
618.71832575792,669.733002460858,430.3615462819898,1.753491179707018
852.325718190706,802.9786628384958,430.5675857943113,1.7534172790944276
502.6200242140576,519.6109188995889,359.28058089695804,1.7531496138775167
589.4895587015874,536.9505214767426,294.7141228670231,1.7531989143707483
932.9060679289836,799.1115505737146,431.6823153072718,1.7508408539352964
776.5407293057771,773.2213731640264,413.25810523487945,1.754043151422767
343.53980983902534,358.00360807467445,223.9083860078784,1.7547992364673575
586.6889356764304,616.8151742069161,401.6755382185066,1.7542844474287507
718.8921118624659,802.0352697548327,506.4287481971855,1.7533017262630475
674.4449606523121,731.4926003542098,447.4892260420967,1.7546828017466862
828.2967680835707,841.145809945455,505.08640131113236,1.755142086936597
980.2794596922496,925.9594400914183,722.1651359162189,1.7526249989315177
856.5800289593905,836.4916563614436,490.1433069598496,1.7544646283581307
968.4475918992981,942.7983164367816,754.4358091875456,1.7505314035527553
897.2068636869352,920.831984317167,676.7620618755218,1.7523587362886948
